מדינה,קליקים,הופעות,שיעור קליקים,מקום
ישראל,2474,228349,1.08%,22.35
אזור לא ידוע,29,864,3.36%,19.87
פלסטין,23,938,2.45%,17.54
ארצות הברית,14,75100,0.02%,36.37
בלגיה,4,194,2.06%,34.16
איטליה,3,10186,0.03%,35.92
בריטניה,2,12133,0.02%,39.2
צרפת,2,2217,0.09%,35.09
תאילנד,2,684,0.29%,30.34
הולנד,2,632,0.32%,33.76
צ'ילה,2,630,0.32%,35
יוון,2,542,0.37%,29.92
הונגריה,2,197,1.02%,29.61
שווייץ,2,183,1.09%,32.19
הונג קונג,2,111,1.8%,40.81
גאנה,2,103,1.94%,35.94
מונטנגרו,2,47,4.26%,33.47
הודו,1,10551,0.01%,35.43
קנדה,1,3379,0.03%,38.2
מקסיקו,1,2384,0.04%,36.69
ארגנטינה,1,2381,0.04%,35.74
ספרד,1,1483,0.07%,35.59
אוסטרליה,1,928,0.11%,35.68
איחוד האמירויות הערביות,1,622,0.16%,35.71
גאורגיה,1,212,0.47%,35.93
לבנון,1,209,0.48%,32.98
דנמרק,1,154,0.65%,26.33
ברזיל,0,35802,0%,35.64
רוסיה,0,3860,0%,39.28
וייטנאם,0,3148,0%,41.75
בנגלדש,0,2861,0%,39.44
אינדונזיה,0,2804,0%,36.48
איי הפיליפינים,0,2702,0%,36.06
גרמניה,0,2559,0%,38.39
טורקיה,0,2077,0%,37.94
דרום אפריקה,0,2003,0%,36.56
דרום קוריאה,0,1930,0%,43.67
עירק,0,1837,0%,40.39
ערב הסעודית,0,1793,0%,39.21
פקיסטן,0,1707,0%,38.64
מלזיה,0,1637,0%,37.35
אקוודור,0,1448,0%,35.77
אוקראינה,0,1371,0%,37.96
קולומביה,0,1193,0%,35.53
מרוקו,0,1189,0%,37.99
ונצואלה,0,1007,0%,39.12
מצרים,0,863,0%,39.5
יפן,0,783,0%,31.96
טרינידד וטובגו,0,708,0%,39.09
טאיוואן,0,694,0%,38.11
אלג'יריה,0,666,0%,37.84
אירלנד,0,662,0%,37.52
אוזבקיסטן,0,656,0%,39.05
ירדן,0,632,0%,36.2
פרו,0,617,0%,33
תוניסיה,0,598,0%,37.69
נפאל,0,585,0%,36.7
קניה,0,573,0%,40.78
פולין,0,518,0%,36.84
אורוגוואי,0,499,0%,35.76
פרגוואי,0,484,0%,35.65
ג'מייקה,0,444,0%,36.88
ברבדוס,0,441,0%,38.86
הרפובליקה הדומיניקנית,0,381,0%,36.41
אתיופיה,0,362,0%,38.82
פורטוגל,0,357,0%,30.75
קזחסטן,0,353,0%,40.75
סינגפור,0,347,0%,40.94
רומניה,0,340,0%,35.44
בולגריה,0,276,0%,32.34
ניגריה,0,269,0%,34.29
ליטא,0,266,0%,39.79
אלבניה,0,255,0%,39.71
בלרוס,0,252,0%,36.64
פנמה,0,252,0%,38.05
אזרביג'ן,0,250,0%,36.06
עומאן,0,249,0%,38.61
בוליביה,0,238,0%,39.24
קוסטה ריקה,0,226,0%,35.85
שוודיה,0,226,0%,39.03
הונדורס,0,219,0%,35.94
כוויית,0,219,0%,37.63
סרביה,0,201,0%,35.62
סנגל,0,195,0%,36.29
צ'כיה,0,190,0%,28.31
סוריה,0,177,0%,41.05
קפריסין,0,176,0%,31.48
מולדובה,0,168,0%,38.56
גווטמלה,0,162,0%,34.07
איי הבהאמה,0,161,0%,39.86
לטביה,0,160,0%,30.14
בחריין,0,155,0%,40.73
בוסניה והרצגובינה,0,153,0%,35.05
ניו זילנד,0,148,0%,35.3
אוסטריה,0,143,0%,35.51
חוף השנהב,0,129,0%,34.98
קירגיזסטן,0,127,0%,37.16
קמבודיה,0,125,0%,33.98
קטאר,0,122,0%,37.81
ניקרגואה,0,121,0%,36
גיאנה,0,112,0%,40.96
סרי לנקה,0,109,0%,33.91
נורווגיה,0,108,0%,34.68
אל סלבדור,0,106,0%,34.74
לוב,0,105,0%,37.97
פינלנד,0,103,0%,35.9
קרואטיה,0,102,0%,33.55
ארמניה,0,99,0%,42.68
פוארטו ריקו,0,95,0%,39.88
סלובקיה,0,93,0%,36.96
אנגולה,0,91,0%,38.7
מונגוליה,0,89,0%,32.91
אירן,0,79,0%,41.61
גאבון,0,73,0%,30.38
בליז,0,70,0%,42.94
מיאנמר (בורמה),0,65,0%,27.22
איי הבתולה הבריטיים,0,62,0%,41.16
בורקינה פאסו,0,62,0%,42.08
טנזניה,0,60,0%,32.03
סנט לוצ'יה,0,55,0%,32.62
ברמודה,0,54,0%,35.85
גרנדה,0,54,0%,44.57
אוגנדה,0,53,0%,38.6
מקדוניה,0,51,0%,36.73
סלובניה,0,48,0%,31.54
סין,0,48,0%,33.81
סנט קיטס ונוויס,0,44,0%,40.59
סנט וינסנט והגרנדינים,0,39,0%,29.95
אנטיגואה וברבודה,0,38,0%,27.79
מאוריציוס,0,37,0%,40.05
איי קיימן,0,35,0%,38.11
טוגו,0,33,0%,39.24
קונגו - ברזאויל,0,32,0%,50.88
ברוניי,0,31,0%,36.23
סורינאם,0,31,0%,48.26
מלטה,0,29,0%,27.86
קוסובו,0,25,0%,31.72
בוצואנה,0,25,0%,38.4
רואנדה,0,25,0%,48.24
זימבבווה,0,24,0%,28.67
זמביה,0,24,0%,34.92
מאלי,0,23,0%,22.65
איי המלדיבים,0,23,0%,27.22
מוזמביק,0,23,0%,43.57
כף ורדה,0,22,0%,33.59
לאוס,0,21,0%,39.9
אסטוניה,0,20,0%,29.95
תימן,0,19,0%,34
בנין,0,19,0%,36.89
איסלנד,0,18,0%,27
מאלאווי,0,18,0%,33
סומליה,0,18,0%,36.56
האי מאן,0,17,0%,30.06
איי סיישל,0,17,0%,38.94
קוראסאו,0,16,0%,50.44
קונגו - קינשאסה,0,15,0%,36.13
קמרון,0,15,0%,38.87
טג'יקיסטן,0,15,0%,45.07
מדגסקר,0,14,0%,27
ראוניון,0,14,0%,42
סנט מארטן,0,14,0%,45.71
סיירה לאונה,0,14,0%,52.07
האיטי,0,13,0%,15.77
איי טורקס וקאיקוס,0,13,0%,30.92
נמיביה,0,12,0%,31.5
פיג'י,0,11,0%,27.18
ארובה,0,10,0%,30.9
גרז'י,0,10,0%,35
אנדורה,0,9,0%,27.44
בהוטן,0,9,0%,29.78
סהרה המערבית,0,9,0%,34.67
קובה,0,7,0%,24.29
גוודלופ,0,7,0%,32.57
לוקסמבורג,0,7,0%,52.29
דומיניקה,0,7,0%,53.43
אפגניסטן,0,6,0%,18.33
גינאה,0,6,0%,38
פפואה גיניאה החדשה,0,6,0%,38.5
מקאו,0,5,0%,11.6
גיברלטר,0,5,0%,16
לסוטו,0,5,0%,18.6
ליכטנשטיין,0,5,0%,21.8
מאוריטניה,0,4,0%,21.75
גמביה,0,4,0%,34.75
מרטיניק,0,4,0%,39.5
גורנסי,0,4,0%,42.25
גיאנה הצרפתית,0,4,0%,43.5
אנגווילה,0,3,0%,30.33
איי פארו,0,2,0%,5.5
סוואלבארד ויאן מאיין,0,2,0%,6
סן מרינו,0,2,0%,33
סווזילנד,0,2,0%,53
טונגה,0,2,0%,54
גואם,0,2,0%,61.5
מונסראט,0,2,0%,64.5
האיים הקריביים ההולנדיים,0,2,0%,84.5
גרינלנד,0,1,0%,3
מאיוט,0,1,0%,4
"איי הבתולה של ארה""ב",0,1,0%,7
גיניאה המשוונית,0,1,0%,70
ונואטו,0,1,0%,79
מיקרונזיה,0,1,0%,85
איי שלמה,0,1,0%,89
פולינזיה הצרפתית,0,1,0%,91
גינאה-ביסאו,0,1,0%,97
